fid,username,reactions_received,total_casts,reaction_cast_ratio
510701,"<a href=""https://warpcast.com/bot007"" target=""_blank"">bot007</a>",20,626,0.03194888178913738
447039,"<a href=""https://warpcast.com/hienhuynh"" target=""_blank"">hienhuynh</a>",9,280,0.03214285714285714
507016,"<a href=""https://warpcast.com/polay"" target=""_blank"">polay</a>",27,838,0.032219570405727926
269753,"<a href=""https://warpcast.com/tarunch"" target=""_blank"">tarunch</a>",1,31,0.03225806451612903
532521,"<a href=""https://warpcast.com/striker6063"" target=""_blank"">striker6063</a>",1,31,0.03225806451612903
542850,"<a href=""https://warpcast.com/zephyrafgg"" target=""_blank"">zephyrafgg</a>",1,31,0.03225806451612903
444830,"<a href=""https://warpcast.com/mepa"" target=""_blank"">mepa</a>",4,124,0.03225806451612903
486985,"<a href=""https://warpcast.com/sweetyfruity"" target=""_blank"">sweetyfruity</a>",1,31,0.03225806451612903
258292,"<a href=""https://warpcast.com/wiwitsetiadi"" target=""_blank"">wiwitsetiadi</a>",1,31,0.03225806451612903
546673,"<a href=""https://warpcast.com/cakekeepers"" target=""_blank"">cakekeepers</a>",1,31,0.03225806451612903
236303,"<a href=""https://warpcast.com/junakhun"" target=""_blank"">junakhun</a>",1,31,0.03225806451612903
541125,"<a href=""https://warpcast.com/pajero"" target=""_blank"">pajero</a>",1,31,0.03225806451612903
507413,"<a href=""https://warpcast.com/dandao019"" target=""_blank"">dandao019</a>",27,827,0.032648125755743655
471398,"<a href=""https://warpcast.com/roflanebalo"" target=""_blank"">roflanebalo</a>",4,122,0.03278688524590164
244923,"<a href=""https://warpcast.com/zeeztewo"" target=""_blank"">zeeztewo</a>",3,91,0.03296703296703297
267458,"<a href=""https://warpcast.com/moowowow"" target=""_blank"">moowowow</a>",33,994,0.03319919517102616
238727,"<a href=""https://warpcast.com/higgie"" target=""_blank"">higgie</a>",1,30,0.03333333333333333
539386,"<a href=""https://warpcast.com/diox"" target=""_blank"">diox</a>",1,30,0.03333333333333333
533878,"<a href=""https://warpcast.com/onurarasguler"" target=""_blank"">onurarasguler</a>",1,30,0.03333333333333333
524233,"<a href=""https://warpcast.com/melody11"" target=""_blank"">melody11</a>",1,30,0.03333333333333333
553033,"<a href=""https://warpcast.com/raincrypro2"" target=""_blank"">raincrypro2</a>",1,30,0.03333333333333333
389267,"<a href=""https://warpcast.com/givebot"" target=""_blank"">givebot</a>",8,237,0.03375527426160337
263850,"<a href=""https://warpcast.com/mkkoooi"" target=""_blank"">mkkoooi</a>",35,1035,0.033816425120772944
442800,"<a href=""https://warpcast.com/tamnguyen88"" target=""_blank"">tamnguyen88</a>",2,59,0.03389830508474576
508470,"<a href=""https://warpcast.com/kooolll"" target=""_blank"">kooolll</a>",27,794,0.03400503778337532
500598,"<a href=""https://warpcast.com/horizontalism"" target=""_blank"">horizontalism</a>",6,176,0.03409090909090909
271978,"<a href=""https://warpcast.com/gfuuutu"" target=""_blank"">gfuuutu</a>",24,703,0.034139402560455195
507050,"<a href=""https://warpcast.com/kanggaru99"" target=""_blank"">kanggaru99</a>",27,789,0.034220532319391636
529738,"<a href=""https://warpcast.com/argentinonzx2"" target=""_blank"">argentinonzx2</a>",1,29,0.034482758620689655
509113,"<a href=""https://warpcast.com/mdgisan"" target=""_blank"">mdgisan</a>",2,58,0.034482758620689655
547046,"<a href=""https://warpcast.com/alistairrt"" target=""_blank"">alistairrt</a>",1,29,0.034482758620689655
518948,"<a href=""https://warpcast.com/soxr"" target=""_blank"">soxr</a>",1,29,0.034482758620689655
291673,"<a href=""https://warpcast.com/tio"" target=""_blank"">tio</a>",1,29,0.034482758620689655
539737,"<a href=""https://warpcast.com/babayaga892"" target=""_blank"">babayaga892</a>",1,29,0.034482758620689655
444870,"<a href=""https://warpcast.com/ezoz"" target=""_blank"">ezoz</a>",4,116,0.034482758620689655
542930,"<a href=""https://warpcast.com/amrdani"" target=""_blank"">amrdani</a>",1,29,0.034482758620689655
577517,"<a href=""https://warpcast.com/jb2233"" target=""_blank"">jb2233</a>",1,29,0.034482758620689655
266394,"<a href=""https://warpcast.com/cmsmsksks"" target=""_blank"">cmsmsksks</a>",34,983,0.03458799593082401
261356,"<a href=""https://warpcast.com/makoqiri"" target=""_blank"">makoqiri</a>",36,1035,0.034782608695652174
264644,"<a href=""https://warpcast.com/pppppo134"" target=""_blank"">pppppo134</a>",35,1005,0.03482587064676617
252067,"<a href=""https://warpcast.com/dnajdjjd"" target=""_blank"">dnajdjjd</a>",34,976,0.03483606557377049
266862,"<a href=""https://warpcast.com/maiqoi1191"" target=""_blank"">maiqoi1191</a>",32,917,0.03489640130861505
462145,"<a href=""https://warpcast.com/farlaunchbot"" target=""_blank"">farlaunchbot</a>",87,2492,0.034911717495987156
267089,"<a href=""https://warpcast.com/alciball"" target=""_blank"">alciball</a>",33,944,0.034957627118644065
500077,"<a href=""https://warpcast.com/joachim"" target=""_blank"">joachim</a>",2,57,0.03508771929824561
521110,"<a href=""https://warpcast.com/florenmentok"" target=""_blank"">florenmentok</a>",3,85,0.03529411764705882
266483,"<a href=""https://warpcast.com/moqqpp"" target=""_blank"">moqqpp</a>",35,989,0.03538928210313448
518796,"<a href=""https://warpcast.com/obw"" target=""_blank"">obw</a>",1,28,0.03571428571428571
571140,"<a href=""https://warpcast.com/chuprahu"" target=""_blank"">chuprahu</a>",1,28,0.03571428571428571
371998,"<a href=""https://warpcast.com/fronz"" target=""_blank"">fronz</a>",1,28,0.03571428571428571
535919,"<a href=""https://warpcast.com/tokentactician"" target=""_blank"">tokentactician</a>",2,56,0.03571428571428571
525243,"<a href=""https://warpcast.com/hahhhhh"" target=""_blank"">hahhhhh</a>",1,28,0.03571428571428571
507543,"<a href=""https://warpcast.com/haywiuiu"" target=""_blank"">haywiuiu</a>",29,812,0.03571428571428571
548415,"<a href=""https://warpcast.com/doantrihung"" target=""_blank"">doantrihung</a>",2,56,0.03571428571428571
508360,"<a href=""https://warpcast.com/pahambe"" target=""_blank"">pahambe</a>",29,809,0.03584672435105068
519259,"<a href=""https://warpcast.com/rosariaaa"" target=""_blank"">rosariaaa</a>",3,83,0.03614457831325301
530255,"<a href=""https://warpcast.com/yellowsnowman"" target=""_blank"">yellowsnowman</a>",5,138,0.036231884057971016
502060,"<a href=""https://warpcast.com/mrzer0"" target=""_blank"">mrzer0</a>",2,55,0.03636363636363636
475448,"<a href=""https://warpcast.com/nasmoooo"" target=""_blank"">nasmoooo</a>",3,82,0.036585365853658534
260570,"<a href=""https://warpcast.com/huongd"" target=""_blank"">huongd</a>",26,707,0.036775106082036775
313584,"<a href=""https://warpcast.com/ryangosling"" target=""_blank"">ryangosling</a>",1,27,0.037037037037037035
541558,"<a href=""https://warpcast.com/junogal"" target=""_blank"">junogal</a>",1,27,0.037037037037037035
521297,"<a href=""https://warpcast.com/pacotampan"" target=""_blank"">pacotampan</a>",3,81,0.037037037037037035
386438,"<a href=""https://warpcast.com/ekremkoz"" target=""_blank"">ekremkoz</a>",1,27,0.037037037037037035
