fid,username,reactions_received,total_casts,reaction_cast_ratio
508109,"<a href=""https://warpcast.com/vailoaaa"" target=""_blank"">vailoaaa</a>",23,868,0.026497695852534562
267398,"<a href=""https://warpcast.com/maowowi"" target=""_blank"">maowowi</a>",21,789,0.026615969581749048
507510,"<a href=""https://warpcast.com/loloodao194"" target=""_blank"">loloodao194</a>",22,821,0.02679658952496955
507485,"<a href=""https://warpcast.com/pakumno"" target=""_blank"">pakumno</a>",20,741,0.02699055330634278
530662,"<a href=""https://warpcast.com/shiamair"" target=""_blank"">shiamair</a>",1,37,0.02702702702702703
543570,"<a href=""https://warpcast.com/dladnwls7777"" target=""_blank"">dladnwls7777</a>",2,74,0.02702702702702703
570850,"<a href=""https://warpcast.com/zzyndn299"" target=""_blank"">zzyndn299</a>",1,37,0.02702702702702703
508386,"<a href=""https://warpcast.com/akdemy"" target=""_blank"">akdemy</a>",22,813,0.02706027060270603
536572,"<a href=""https://warpcast.com/fake-make"" target=""_blank"">fake-make</a>",6,220,0.02727272727272727
271687,"<a href=""https://warpcast.com/namamam"" target=""_blank"">namamam</a>",26,951,0.027339642481598318
507075,"<a href=""https://warpcast.com/fendor"" target=""_blank"">fendor</a>",23,839,0.027413587604290822
515757,"<a href=""https://warpcast.com/sadia1"" target=""_blank"">sadia1</a>",7,255,0.027450980392156862
508484,"<a href=""https://warpcast.com/lamphu1048"" target=""_blank"">lamphu1048</a>",23,833,0.027611044417767107
507861,"<a href=""https://warpcast.com/wuxrat4ik"" target=""_blank"">wuxrat4ik</a>",5,181,0.027624309392265192
526243,"<a href=""https://warpcast.com/afsar0786"" target=""_blank"">afsar0786</a>",1,36,0.027777777777777776
521269,"<a href=""https://warpcast.com/denoon"" target=""_blank"">denoon</a>",2,72,0.027777777777777776
507398,"<a href=""https://warpcast.com/linhthach11"" target=""_blank"">linhthach11</a>",21,753,0.027888446215139442
508121,"<a href=""https://warpcast.com/saaukiaa"" target=""_blank"">saaukiaa</a>",22,785,0.02802547770700637
252995,"<a href=""https://warpcast.com/yezet"" target=""_blank"">yezet</a>",2,71,0.028169014084507043
507537,"<a href=""https://warpcast.com/thatghe"" target=""_blank"">thatghe</a>",23,816,0.028186274509803922
530672,"<a href=""https://warpcast.com/quailandduckeggs"" target=""_blank"">quailandduckeggs</a>",3,106,0.02830188679245283
506998,"<a href=""https://warpcast.com/xiaopanglu11"" target=""_blank"">xiaopanglu11</a>",23,810,0.028395061728395062
510701,"<a href=""https://warpcast.com/bot007"" target=""_blank"">bot007</a>",20,687,0.02911208151382824
266394,"<a href=""https://warpcast.com/cmsmsksks"" target=""_blank"">cmsmsksks</a>",28,955,0.02931937172774869
548599,"<a href=""https://warpcast.com/hongthatcong"" target=""_blank"">hongthatcong</a>",1,34,0.029411764705882353
